YYYY1	MM1	DD1	YYYY2	MM2	DD2	DSP	INC_ANG	HEAD_ANG	ERROR
2020	4	22	2020	4	28	0.0010	0.7665488	-2.8836056	0.0051
2020	4	28	2020	5	4	-0.0109	0.7666845	-2.8836056	0.0052
2020	5	4	2020	5	10	0.0057	0.7666068	-2.8836182	0.0063
2020	5	10	2020	5	16	-0.0015	0.7667004	-2.8836149	0.0057
2020	5	16	2020	5	22	-0.0044	0.7667206	-2.8836196	0.0053
2020	5	22	2020	5	28	-0.0051	0.7666399	-2.8836164	0.0061
2020	5	28	2020	6	3	0.0016	0.7667314	-2.8836201	0.0045
2020	6	3	2020	6	9	-0.0010	0.7666464	-2.8836339	0.0048
2020	6	9	2020	6	15	-0.0069	0.7666386	-2.8836295	0.0068
2020	6	15	2020	6	21	0.0215	0.7666174	-2.8836358	0.0068
2020	6	21	2020	6	27	0.0074	0.7665767	-2.8836296	0.0050
2020	6	27	2020	7	3	-0.0006	0.7667067	-2.8836283	0.0058
2020	7	3	2020	7	9	0.0023	0.7666256	-2.8836356	0.0066
2020	7	9	2020	7	15	-0.0139	0.7666740	-2.8836224	0.0073
2020	7	15	2020	7	21	-0.0023	0.7666934	-2.8836287	0.0063
2020	7	21	2020	7	27	-0.0014	0.7665891	-2.8836288	0.0055
2020	7	27	2020	8	2	0.0060	0.7666689	-2.8836310	0.0050
2020	8	2	2020	8	8	-0.0040	0.7665549	-2.8836319	0.0048
2020	8	8	2020	8	14	0.0054	0.7666322	-2.8836135	0.0047
2020	8	14	2020	8	20	0.0120	0.7666763	-2.8836286	0.0057
2020	8	20	2020	8	26	0.0042	0.7666299	-2.8836279	0.0056
2020	8	26	2020	9	1	-0.0041	0.7666570	-2.8836189	0.0053
2020	9	1	2020	9	7	0.0054	0.7666160	-2.8836281	0.0070
2020	9	7	2020	9	13	0.0016	0.7666090	-2.8836198	0.0070
2020	9	13	2020	9	19	-0.0049	0.7666209	-2.8836297	0.0048
2020	9	19	2020	9	25	0.0018	0.7665829	-2.8836251	0.0048
2020	9	25	2020	10	1	-0.0076	0.7666496	-2.8836208	0.0063
2020	10	1	2020	10	13	0.0041	0.7665998	-2.8819012	0.0063
2020	10	13	2020	10	19	0.0006	0.7666069	-2.8810402	0.0052
2020	10	19	2020	10	25	-0.0082	0.7666498	-2.8810349	0.0068
2020	10	25	2020	10	31	0.0005	0.7666676	-2.8810413	0.0053
2020	10	31	2020	11	6	-0.0009	0.7665885	-2.8810482	0.0045
2020	11	6	2020	11	12	-0.0021	0.7666039	-2.8810338	0.0036
2020	11	12	2020	11	18	0.0012	0.7666485	-2.8810374	0.0056
2020	11	18	2020	11	24	0.0007	0.7665735	-2.8810584	0.0053
2020	11	24	2020	11	30	-0.0035	0.7666399	-2.8810736	0.0060
2020	11	30	2020	12	6	-0.0020	0.7665803	-2.8810766	0.0049
2020	12	6	2020	12	12	0.0005	0.7666076	-2.8810680	0.0036
2020	12	12	2020	12	18	0.0003	0.7665769	-2.8810716	0.0049
2020	12	18	2020	12	24	-0.0016	0.7665406	-2.8810591	0.0055
2020	12	24	2020	12	30	0.0002	0.7666514	-2.8810669	0.0061
2020	12	30	2021	1	5	0.0027	0.7665127	-2.8810616	0.0064
