YYYY	MM	DD	DSP	INC_ANG	HEAD_ANG	ERROR					
2018	6	28	0.0000	0.668083387	6.105638615	0.0040					
2018	7	4	-0.0029	0.668083387	6.105638615	0.0040					
2018	7	10	-0.0062	0.668083387	6.105638615	0.0040					
2018	7	16	-0.0004	0.668083387	6.105638615	0.0040					
2018	7	22	-0.0030	0.668083387	6.105638615	0.0040					
2018	7	28	0.0002	0.668083387	6.105638615	0.0040					
2018	8	3	-0.0029	0.668083387	6.105638615	0.0040					
2018	8	9	-0.0021	0.668083387	6.105638615	0.0040					
2018	8	15	-0.0083	0.668083387	6.105638615	0.0040					
2018	8	21	-0.0051	0.668083387	6.105638615	0.0040					
2018	8	27	-0.0053	0.668083387	6.105638615	0.0040					
2018	9	2	-0.0046	0.668083387	6.105638615	0.0040					
2018	9	8	-0.0058	0.668083387	6.105638615	0.0040					
2018	9	14	-0.0043	0.668083387	6.105638615	0.0040					
2018	9	20	-0.0043	0.668083387	6.105638615	0.0040					
2018	9	26	-0.0049	0.668083387	6.105638615	0.0040					
2018	10	2	-0.0052	0.668083387	6.105638615	0.0040					
2018	10	8	-0.0051	0.668083387	6.105638615	0.0040					
2018	10	14	-0.0034	0.668083387	6.105638615	0.0040					
2018	10	20	-0.0034	0.668083387	6.105638615	0.0040					
2018	10	26	-0.0025	0.668083387	6.105638615	0.0040					
2018	11	1	-0.0053	0.668083387	6.105638615	0.0040					
2018	11	7	-0.0022	0.668083387	6.105638615	0.0040					
2018	11	13	-0.0017	0.668083387	6.105638615	0.0040					
2018	11	19	-0.0024	0.668083387	6.105638615	0.0040					
2018	11	25	-0.0020	0.668083387	6.105638615	0.0040					
2018	12	1	-0.0031	0.668083387	6.105638615	0.0040					
2018	12	7	-0.0007	0.668083387	6.105638615	0.0040					
2018	12	13	0.0007	0.668083387	6.105638615	0.0040					
2018	12	19	-0.0011	0.668083387	6.105638615	0.0040					
2018	12	25	0.0028	0.668083387	6.105638615	0.0040					
2018	12	31	0.0019	0.668083387	6.105638615	0.0040					
2019	1	6	0.0026	0.668083387	6.105638615	0.0040					
2019	1	12	0.0083	0.668083387	6.105638615	0.0040					
2019	1	18	0.0011	0.668083387	6.105638615	0.0040					
2019	1	24	-0.0029	0.668083387	6.105638615	0.0040					
2019	1	30	-0.0015	0.668083387	6.105638615	0.0040					
2019	2	5	0.0070	0.668083387	6.105638615	0.0040					
2019	2	11	-0.0007	0.668083387	6.105638615	0.0040					
2019	2	17	-0.0010	0.668083387	6.105638615	0.0040					
2019	2	23	-0.0016	0.668083387	6.105638615	0.0040					
2019	3	1	-0.0018	0.668083387	6.105638615	0.0040					
2019	3	7	-0.0013	0.668083387	6.105638615	0.0040					
2019	3	13	-0.0027	0.668083387	6.105638615	0.0040					
2019	3	19	-0.0041	0.668083387	6.105638615	0.0040					
2019	3	25	-0.0050	0.668083387	6.105638615	0.0040					
2019	3	31	-0.0069	0.668083387	6.105638615	0.0040					
2019	4	6	-0.0049	0.668083387	6.105638615	0.0040					
2019	4	12	-0.0075	0.668083387	6.105638615	0.0040					
2019	4	18	-0.0134	0.668083387	6.105638615	0.0040					
2019	4	24	-0.0122	0.668083387	6.105638615	0.0040					
2019	4	30	-0.0178	0.668083387	6.105638615	0.0040					
2019	5	6	-0.0178	0.668083387	6.105638615	0.0040					
2019	5	12	-0.0202	0.668083387	6.105638615	0.0040					
2019	5	18	-0.0257	0.668083387	6.105638615	0.0040					
2019	5	24	-0.0262	0.668083387	6.105638615	0.0040					
2019	5	30	-0.0343	0.668083387	6.105638615	0.0040					
2019	6	5	-0.0371	0.668083387	6.105638615	0.0040					
2019	6	11	-0.0424	0.668083387	6.105638615	0.0040					
2019	6	17	-0.0472	0.668083387	6.105638615	0.0040					
2019	6	23	-0.0529	0.668083387	6.105638615	0.0040					
2019	6	29	-0.0614	0.668083387	6.105638615	0.0040					
2019	7	5	-0.0653	0.668083387	6.105638615	0.0040					
2019	7	11	-0.0721	0.668083387	6.105638615	0.0040					
